Farmville 2	schlecht	2x Spielstand innerhalb weniger Tage verloren	Plötzlich von level 73 auf 1 also gefrustet neu angefangen und wieder bis level 36 hoch gespielt. Dann heute wieder Spielstand weg und auf 1. Keine Reaktion vom support....das Spiel hat mal Spaß gemacht aber so spiele ich nicht weiter, dafür ist mir meine Zeit zu schade um für nichts zu spielen. Auf keinen Fall eine empfehlung
Hay Day	gut		Класс
Hay Day	schlecht		COOL,ABER AUCH SERR SCHEISE.ICH HATE ES NUR 1MONAT LANG GEZOKT
Die Simpsons	schlecht	Das Geld kann nicht hoch genug sein.	Das Event ist bis jetzt echt klasse, aber jetzt kommt mein aber...! Kann die Aufgabe von Burns nicht abschließen weil die abschließende Aufgabe, die den Akt beendet, nicht da ist. Egal was mache. Habe ein Galaxy S3. Oder hat jemand einen Tip was machen kann? Bitte schnellsten beheben EA!
Angry Birds	gut		Super Spiel
Hay Day	gut	Top	Toller zeitvertreib
Call Of Duty Heroes	gut		mega geil
Subway Surfers	gut	Das ist das vollste was ich gespielt gab	Coll
Hay Day	gut	Gefälltmir :)	Alles ok
Temple Run	gut		Ein cooles Spiel
Die Simpsons	schlecht		Spiel läuft nicht hängt sich immer auf wirklich schade: -(
Farmville 2	gut		Ja ... Ich hab nur 4 Sterne gegeben weil es ist blöd das die Hunde 400 Schlüssel kosten und die Hundehütte nur ...(Euro); ()
Cut The Rope 2	gut	Süß	Sehr schön und süß. Macht richtig süchtig!!
Subway Surfers	gut		Subway surfer ist das best spiel der welt und das bekantsste
Die Simpsons	schlecht	Schade..	..dass die simpsons-macher ihren namen für sowas hergeben! Es geht nur noch darum donuts zu verkaufen! Bringt doch bitte endlich mal mehr landerweiterungen,und ungepflasterte (erd-)wege!! Addet mich: dineboegli968 (aber bitte nur,wenn ihr täglich euer springfield besucht!)
Die Simpsons	gut	Macht echt süchtig!!	Brauche Nachbarn...also bitte adden pattiplatch
Die Simpsons	gut	micha	Ist ok mann muss bloß auf passen das mann angemeldet ist sonnst fängt mann oft von vorn an
Die Simpsons	gut	Gutes Spiele	Das Spiel ist cool aber es ist nervig
Hay Day	gut	ÜBER KRASSES SPIEL	UNBEDINGT DOWNLOAD EN
Temple Run	gut	Echt cool	Das Spiel ist cool es macht süchtig vorallem ist wenig Werbung !!!:-)
Bike Race Free	gut	Cool	Ein voll cooles spiel
Die Simpsons	gut		Beste
Hay Day	gut	Nachbar	Ich suche nachbaren
Angry Birds	gut		Cool
Hay Day	gut		Macht Spass
Farmville 2	schlecht		Geht fast gar nichts mehr. Meldet ständig offline obwohl Verbindung steht. Bitte beheben dann gibt es auch wieder eine gute Bewertung.
Hay Day	gut	Voll cool	Ich finde das Spiel ist richtig cool ich liebe es.
Call Of Duty Heroes	gut		Macht gauddi
Die Simpsons	gut	Funktioniert	☺😆 rheinfisch699: 🎉 Freundschaftsplatz: 01 offen! 👀 Melderegister im Rathaus! 👀 ExtraDonut's finden sich bei den Freunden. 👀 Freundschaftsanfragen in App möglich, nicht mehr per PC in Origin. 👀 Davor kam Button: "arbeiten schicken" dazu. 👀 zum Zeitvertreib bestens geeignet, da die Stadt mit den Aufgaben wächst + irre Story & gute Grafik.👍📲
Subway Surfers	gut		Also mir gefällt es :)
Die Simpsons	schlecht		War eigentlich gut, bis alles weg war.
Die Simpsons	gut		Super Spiel hängt öfter mal aber super ldee suche noch Nachbar oft online grüsse Sascha add SaschaM72
Subway Surfers	gut	Bewertungen	Das Spiel ist ja ganz gut, aber es wird mit der Zeit schnell langweilig. Also nur 3 Sterne
Die Simpsons	gut	Einfach geil	Ein muss für alle Simpsons Fans. :-) . BINLANGMANN140 . Freue mich über neue Nachbarn.
Subway Surfers	gut	Super spiel!!!!!!	Mein klreiner Bruder und ich spielen subway surfers total gerne auf meinem Handy!!!
Subway Surfers	gut	Cool	GEIL!!!!!!!! &lt;3&lt;3&lt;3&lt;3
Subway Surfers	gut	Nice	Ist geil
Farmville 2	schlecht		50 Schlüssel für den Hund, alles umsonst, ich will mein Geld zurück :(((( richtig mies, ich bin auf die Entschädigung gespannt
Die Simpsons	schlecht	Server spinnen	10 min spielen, dann wird man vom Server gekickt. 1-2h warten um sich wieder einzuloggen. So geht jeder Spielspass flöten und man kommt nicht weiter und verliert auch noch tolle Bonus Items :-/
Die Simpsons	gut		Hängt
Hay Day	gut		N1
Die Simpsons	schlecht	Gehts Noch??	erst 3 updates ok...dann auf einmal 10 ajhaa.?? und dann kommen 256 updates NEIn!!!
Bike Race Free	gut	Geil	Hi
Subway Surfers	gut	Lol	Es geht kaum aber egal es ist cool
Die Simpsons	schlecht	HTC ONE	Langsam nervt es das man nicht ins Spiel kommt weihnachten war es schon mal,so kann man die Preise nicht bekommen wenn man 1-2 Tage nicht rein kommt. Ich wäre ja für ein paar donuts als Entschädigung. Bitte adden wielandmar878 freue mich über jeden neue Nachbarn.
Farmville 2	gut	Bestes Spiel für zwischendurch .macht spass	Neue Updates sind geil macht sooo bock
Farmville 2	schlecht	Ich bin ziemlich sauer !!!!	Beim Osterfest habe ich den 7.ten Platz erreicht. Von Belohnung keine Spur. Das Spiel hat sich aufgehängt. Ich habe unten immer noch den kleinen Querbalken und wenn ich ihn antippe, sagt er mir immer, ich bin offline und solle mich neu anmelden. Bitte das Problem beheben, dann wird die Bewertung auch wieder gut.
Farmville 2	schlecht	Hilfe	Habe das selbe Problem, ab 22 % laden, geht gar nix mehr! Sehr schade :(
Farmville 2	schlecht	Es hängt -.-	das spiel hsängt die ganze zeit wenn es bald kein neues update gibt deiinstalier ich es -.-
Call Of Duty Heroes	gut	Geil	Is sexy
Hay Day	gut		Ich finde das Spiel wirklich gut aber ich finde das es zu lange dauert bis eine sache lädt und das man für dieses Spiel Internet braucht :/
Angry Birds	gut		Soo Geil
Farmville 2	schlecht		Was soll dass das event ist fertig bekomme nichts obwohl ich laut meinem punktestand auf platz drei war die verkaufsliste unten rechts ist noch da und wenn ich drauf tippe steht nur da das ich offline bin obwohl ich online bin ich setzt mich doch nicht zwei wochen umsonst hin die nächsten events werde ich nicht mehr machen komm mir langsam verarscht vor
Hay Day	gut		Cool! Bei mir funktioniert alles. :-)
Die Simpsons	gut	Cool	Cool cool cool cool ;)
Temple Run	gut		Okey t
Angry Birds	gut	Hihi	I love angry birds
Cut The Rope 2	gut	Cool	Echt cooles Spiel ich finde das es nie langweilig wird
Angry Birds	gut	Exzelllent	Einfach super ich liebe diese app ich spiele angry bird jeden tag und habe alle schon durch gespielt
Hay Day	gut	Guter tag	Man hat Spaß
Subway Surfers	gut	Gut	Ich habe nicht mit 5 Sternen sondern 4 bewertet weil es den Akku sehr schnell verbraucht und das Handy wird heiß, so ist es auf meinem Handy (Samsung Galaxy S||| mini)
Subway Surfers	gut	Ser Gut	Cool gemacht macht spaß!
Die Simpsons	gut	Tolles Spiel	Wer noch Freunde sucht kann mich hinzufügen. Einfach nach Migga381 suchen.
Cut The Rope 2	gut	Es macht	Spaß
Cut The Rope 2	gut	Super	Fantastisch bloß die Werbung nervt :-)
Die Simpsons	gut		Addet mich decibel1985
Bike Race Free	gut		Einfach geil
Subway Surfers	gut	Dieses Spiel ist vol coul ich war mindestens eine Woche oder einen Monat und habe dan erst gemert das dieses Spiel coul ist	Echt coul
Bike Race Free	gut	Lol	Geil
Call Of Duty Heroes	gut		Nice gaim
Subway Surfers	gut		Die app ist so geil das muss man sich so hohl das großmaul
Angry Birds	gut	Bitte lesen	Deine Mama .'deine mama'.deine mama'. Mama . Mama. Mama. Mama. Mama. mama. Mama.mama.mama.mama. mama. Mama
Subway Surfers	gut		Hammer geil macht pfann
Cut The Rope 2	gut	Super	Einfach nur toll und top :-D
Subway Surfers	gut		Cooles Spiel lädt bei mir leider ein bisschen zu viel
Die Simpsons	gut	Abgestürzt	Habe seid heute auch das Problem das es ständig abstürzt. Bitte schnell beheben. Dann gibt es auch wieder 5 Sterne. Ansonsten sehr geiles Spiel. Nach dem update funktioniert wieder alles. Deshalb wieder 5 Sterne.
Subway Surfers	gut		Cool
Die Simpsons	gut	Suche Nachbarn	Suche nette Nachbarn die auch wirklich aktiv sind mein Name mendeschri769
Die Simpsons	gut	Tipp	Wer nicht ins spiel kommt...hatte des problem auch einfach die app kurz deinstalieren und wieder instalieren, aber nur wenn man ein konto bei dem online teil hat also des game " save " ist 😁 ps: wer noch einen nachbar braucht meine ID ist Inluba16
Cut The Rope 2	gut		Leider muss man immer bestimmte Anzahl von Schlüsseln haben, um durch die Tore gehen zu können. Super Idee, Om-Nom ist so niedlich
Die Simpsons	gut	Richtig Gut	Was ist denn besser als die Simpsons? Richtig ein Simpsons Spiel :D
Subway Surfers	gut		Das ist affen geil
Cut The Rope 2	gut	hihi :-*	einfach knuffig ;-) nur ein haken: pay to win :'( aber sonst echt sweet super gemacht zerpto lab &lt;3 ;-) ;-)
Die Simpsons	schlecht	Was ist da los?	Ich soll seit gestern wieder mit Level 1 anfangen??? Ich melde mich an und immer kommt der Vorspann,anschliessend steht Homer wieder auf einen leeren Platz. Ich war schon bei Level 37 und hab auch manchmal Geld investiert und jetzt das???? Ich Ärger mich gerad masslos darüber und hoffe ihr könnt den Fehler beheben!!!!!! Kann doch nicht sein sowas
Farmville 2	gut		Ist ganz ok
Die Simpsons	gut	Tolles Spiel	Ich hab nichts zu bemängeln und finde das Spiel super :) allerdings wäre es cool wenn man Geld gegen Krustyland-Tickets tauschen könnte... andersherum ist es ja möglich.
Subway Surfers	gut		Cool
Call Of Duty Heroes	gut	Lohnt sich	Nice one ... toller Zeitvertreib
Subway Surfers	gut		Exzellent
Die Simpsons	gut		Geil
Subway Surfers	gut	Geil	Spitzes spiel
Die Simpsons	gut	Suchtfaktor!	Sehr schönes Spiel mit Suchtfaktor auch noch bei Stufe 46... Ps: Suche noch Nachbarinos...einfach adden unter frankgoszk762 :-)
Farmville 2	schlecht		Spielstand auf anderes Gerät übertragen nicht möglich und somit unbrauchbar
Subway Surfers	gut	Geilo	Dieses Spiel ist Geil. Einfach nur Geil.
Hay Day	gut		Exellent
Die Simpsons	schlecht	Es reicht mir es Reicht!!!	Ich hab diese Gamescom 3Monate 3Monate Sickderi Gesuchtet und kann mein Fucking Dorf nicht mehr laden wollte ihr mich verarschen man
Cut The Rope 2	gut	Cooool	Cooool
Hay Day	gut	GandAlf	Gandalf gandalf
Hay Day	gut	Gutes speil	Sehr schön macht Spaß
Tower Defense	gut	Total geil	Geil
Subway Surfers	gut	Ok	Ist cool
Subway Surfers	gut	Es ist cool	Das ist das coolste spiel
Bike Race Free	gut	Korall	★★★★★
Die Simpsons	schlecht		Müll jonge
Tower Defense	gut	tower devense	saul geil
Subway Surfers	gut	Gut	Ist ein tolles Spiel
Subway Surfers	gut	Fast wie echt !!!👍	Ich weiß noch das wir schon 1mal in SEOUL waren 😃
Die Simpsons	gut	Gut	Spiele das Spiel wirklick sehr gerne. Nur die Donats sind unverschämt teuer. Bitte ich brauch ganz dringend neue Grundstücke.
Die Simpsons	gut	Ist gut	Ist eigentlich gut ein guter Zeit vertreib und mach auch sehr viel Spaß
Die Simpsons	schlecht		Nichts verändert stürzt immer noch ab schade
Cut The Rope 2	gut		Ich finde das ist gut
Farmville 2	schlecht	Gehört aus dem Playstore verbannt!	Ich musste Smartphone zurücksetzen und alles neu installieren. Jetzt kann ich wieder bei null anfangen, da keine Verbindung zu Facebook und Google Play möglich ist. Danke Zynga! Wird langsam Zeit, dass dieses Spiel aus dem Playstore verschwindet! PS: Ich war bereits Level 35!!!
Subway Surfers	gut		Exelent
Bike Race Free	gut	Macht Spaß	Alles bestens!
Subway Surfers	gut		SAU GEIL!!!
Die Simpsons	gut		Nehmen gerne Nachbarn auf :) tonia271085 und juliavartm739
Subway Surfers	gut		Beste Spiel macht total fun zu spielen 😊😊😊😊😊😊
Die Simpsons	gut	Super	Bitte alle aktiven addet mich jeankoch87
Subway Surfers	gut	Klasse	Super game
Die Simpsons	gut		Absolut coole app, die nie langweilig wird :p Allerdings bräuchte ich auch mal mehr Freunde bitte adden. (Ischen14)
Die Simpsons	gut		Tolles game aber donuts entschieden zu teuer.und nach updates leider häufig probleme.daher nur vier sterne.suche noch nachbarn.thomas-hir219
Die Simpsons	gut	Bei mir läuft alles top :)	Suche noch ein paar nette nachbarn :) Spiele täglich :) bin gerade level 33 annikarinau1
Die Simpsons	gut	Brauche mehr Nachbarn :D	antonmuent60
Hay Day	gut	Nett	Tolles spiel
Subway Surfers	gut	lol	lol
Hay Day	gut		Das ist das coolste spiel was ich jemals hatte es ist einfach sooo geil. Bei mir stürzt es nie ab und ss mach richtig süchtig😍😍weiter so👍👍👍
Hay Day	gut		geil
Die Simpsons	gut		Bitte Freundschaftsanfragenstellen: LunaBuna2010. ....:)
Subway Surfers	gut	COOL	Bin auf you tube
Subway Surfers	schlecht	Erst super dann doooofff	Das Spiel ist Eigendlich doof jedenfalls für mich... ich musste es löschen weil es immer abgestürzt ist und wo ich es wieder herunterladen wollte ging es nicht echt belämmert ich mag dieses Spiel ganz dolle aber das ist eben doooooffffff
Subway Surfers	gut	Cool	Es ist einfach richtig cool! Ich find es gut das man in andere Länder kommt! Das muss man einfach spielen! Unbedingt runterladen!
Hay Day	gut		Super
Die Simpsons	gut	Sehr cool	Aber es dauert beim laden am anfang aber cooooool !-)
Hay Day	gut	Love	Meine Lieblingsspieleapp
Die Simpsons	gut	Hängt gerade etwas	Das Spiel an sich ist sehr gut aber irgendwie gibt es Performance Probleme. Bitte beheben.
Die Simpsons	schlecht	Schlecht	Es kakt die ganze Zeit ab
Die Simpsons	gut		Ein Sucht spiel,man kann nicht genug bekommen.
Call Of Duty Heroes	gut		Find ick jut
Hay Day	schlecht		Gut
Hay Day	gut	SUPER	Macht echt abhängig! !!!
Farmville 2	schlecht		Bin beim Hochzeitsevent bei Phase 4 und bekomme nur noch den Smoking und hab schon ne Menge Rosen verarbeitet! Bin echt sauer und enttäuscht! So macht es echt keinen Spaß mehr, wenn hier nur noch Probleme sind! Außerdem sollte ich neue Spielinhalte runterladen, was ich auch gamacht habe. Jetzt kann ich mich nicht mehr mit Facebook verbinden!!! Hab es jetzt neu insterliert und es geht immer noch nicht und es stürzt immer ab!!! Hier sind nur noch Proleme mit dem Spiel! Echt schade, wenn das so weiter geht werde ich es wohl löschen!
Subway Surfers	schlecht	Nimmt zu viel SD	Naja
Cut The Rope 2	gut		echt gutes spiel und eine deutliche erweiterung zum ersten
Farmville 2	schlecht	Android 5 update	Viele technische Probleme . Nach Android update kann ich das Spiel gar nicht mehr auf meinem galaxy tab öffnen. Support hilft nicht. Auf dem Handy habe ich noch Android 4 dort schließt sich das Spiel permanent und hängt sich auf. Für die Technik gibt es nur 1 Stern von mir, spielspass hätte normalerweise volle Punktzahl bekommen. Schade
Hay Day	gut		Das Derby hat zu viele Fehler! Ansonsten ein super Spiel mit Suchtgefahr :)
Hay Day	gut		Spas
Hay Day	gut		Ein rund um gelungenes Spiel mit suchtpotential
Hay Day	gut		Supi
Subway Surfers	gut	Goood	Doood game
Hay Day	gut	tolles Spiel	Ich find das Spiel großartig.Freuen würde mich aber eine Verkaufs Funktion für Sachen,die man im Überschuss hat und absolut nicht brauch,wie z.b. die Fahrräder oder Grabstein usw.Das wäre toll,wenn ihr die uns geben wurde.
Die Simpsons	schlecht		kako je ljudi sta ima kod vas jeli vam se otelila krava,i sto ne dodjete na kahvu i na hurmice
Subway Surfers	schlecht	Scheise	Wird nach einiger Zeit langweilig aber voll
Die Simpsons	gut		Ok
Farmville 2	schlecht	Es nervt	Seit eine Woche hängt mein Spiel komplett, ich komme nicht mehr auf Facebook rein. Ich kann nicht mehr meine Ware verkaufen. Bitte tut was dagegen.
Call Of Duty Heroes	gut	Top spiel	Das macht voll Spaß
Subway Surfers	gut	Voll gut	Das Spiel macht super Spaß. Ich empfehle es weiter
Call Of Duty Heroes	gut	Gute App	Nice
Subway Surfers	gut	Super cool	Macht rießig Spaß
Hay Day	gut	Super	Es macht einfach mega Spaß.
Hay Day	schlecht	Freundschaften nicht möglich	Freunde kann man nur hinzufügen wenn man Facebook hat ... wie ich sowas hasse!!!
Subway Surfers	gut		Einfach geil
Hay Day	schlecht	U	Uuuuuuuuuuuuuüuuuuuuuuuuu
Die Simpsons	schlecht	Samsung Galaxy S4 Black Edition	Zum Spiel: Seit dem Update startet das Spiel erst nach mindestens 10 mal und dann bricht die Verbindung nach 3 Minuten wieder ab und muss wieder 10 mal starten! An FRANK BISCHOFF: Spiel einfach mal soweit, bis du zu den Punkt kommst wo man Freunde hinzufügen soll, dann kannst du dich wieder mit deinem eigentlichen Origin Account anmelden und deine Stadt sollte wieder da sein, so war es mal bei mir.
Die Simpsons	gut	Hammer spiel	Super Spiel ich spiele es schon seit 2 Jahren ich kann gar nicht mehr aufhören ich empfehle es jedem
Bike Race Free	gut	Super	Super
Die Simpsons	gut	Geil	Das beste Spiel nur man kann nur mit Facebook Freunde hinzufügen
Die Simpsons	gut		Hammer Spiel kann ich nur empfehlen! :)
